k,n,n_wave
10,1766,1504
10,1767,1504
10,1768,1504
10,1769,1504
10,1770,1504
10,1771,1504
10,1772,1504
10,1773,1504
10,1774,1504
10,1775,1504
10,1776,1504
10,1777,1504
10,1778,1504
10,1779,1504
10,1780,1504
10,1781,1504
10,1782,1504
10,1783,1504
10,1784,1504
10,1785,1504
10,1786,1504
10,1787,1504
10,1788,1504
10,1789,1504
10,1790,1504
10,1791,1504
10,1792,1504
10,1793,1504
10,1794,1504
10,1795,1504
10,1796,1504
10,1797,1504
10,1798,1504
10,1799,1504
10,1800,1504
10,1801,1504
10,1802,1504
10,1803,1504
10,1804,1504
10,1805,1504
10,1806,1504
10,1807,1504
10,1808,1504
10,1809,1504
10,1810,1504
10,1811,1504
10,1812,1504
10,1813,1504
10,1814,1504
10,1815,1504
10,1816,1504
10,1817,1504
10,1818,1504
10,1819,1504
10,1820,1504
10,1821,1504
10,1822,1504
10,1823,1504
10,1824,1504
10,1825,1504
10,1826,1504
10,1827,1504
10,1828,1504
10,1829,1504
10,1830,1504
10,1831,1504
10,1832,1504
10,1833,1504
10,1834,1504
10,1835,1504
10,1836,1504
10,1837,1504
10,1838,1504
10,1839,1504
10,1840,1504
10,1841,1504
10,1842,1504
10,1843,1504
10,1844,1504
10,1845,1504
10,1846,1504
10,1847,1504
10,1848,1504
10,1849,1504
10,1850,1504
10,1851,1504
10,1852,1504
10,1853,1504
10,1854,1504
10,1855,1504
10,1856,1504
10,1857,1504
10,1858,1504
10,1859,1504
10,1860,1504
10,1861,1504
10,1862,1504
10,1863,1504
10,1864,1504
10,1865,1504
10,1866,1504
10,1867,1504
10,1868,1504
10,1869,1504
10,1870,1504
10,1871,1504
10,1872,1504
10,1873,1504
10,1874,1504
10,1875,1504
10,1876,1504
10,1877,1504
10,1878,1504
10,1879,1504
10,1880,1504
10,1881,1504
10,1882,1504
10,1883,1504
10,1884,1504
10,1885,1504
10,1886,1504
10,1887,1504
10,1888,1504
10,1889,1504
10,1890,1504
10,1891,1504
10,1892,1504
10,1893,1504
10,1894,1504
10,1895,1504
10,1896,1504
10,1897,1504
10,1898,1504
10,1899,1504
10,1900,1504
10,1901,1504
10,1902,1504
10,1903,1504
10,1904,1504
10,1905,1504
10,1906,1504
10,1907,1504
10,1908,1504
10,1909,1504
10,1910,1504
10,1911,1504
10,1912,1504
10,1913,1504
10,1914,1504
10,1915,1504
10,1916,1504
10,1917,1504
10,1918,1504
10,1919,1504
10,1920,1504
10,1921,1504
10,1922,1504
10,1923,1504
10,1924,1504
10,1925,1504
10,1926,1504
10,1927,1504
10,1928,1504
10,1929,1504
10,1930,1504
10,1931,1504
10,1932,1504
10,1933,1504
10,1934,1504
10,1935,1504
10,1936,1504
10,1937,1504
10,1938,1504
10,1939,1504
10,1940,1504
10,1941,1504
10,1942,1504
10,1943,1504
10,1944,1504
10,1945,1504
10,1946,1504
10,1947,1504
10,1948,1504
10,1949,1504
10,1950,1504
10,1951,1504
10,1952,1504
10,1953,1504
10,1954,1504
10,1955,1504
10,1956,1504
10,1957,1504
10,1958,1504
10,1959,1504
10,1960,1504
10,1961,1504
10,1962,1504
10,1963,1504
10,1964,1504
10,1965,1504
10,1966,1504
10,1967,1504
10,1968,1504
10,1969,1504
10,1970,1504
10,1971,1859
